"Sector","Fixed Facility Types (Physical Locations)"
"Chemical","Chemical manufacturing plants - Chemical processing facilities - Petrochemical plants - Pharmaceutical manufacturing facilities - Fertilizer production plants - Industrial chemical storage facilities - Chemical distribution terminals - Specialty chemical manufacturing sites - Agricultural chemical production facilities - Chemical research laboratories - Hazardous material storage sites - Chemical waste treatment facilities - Paint and coating manufacturing plants - Plastics and resin production facilities - Explosives manufacturing facilities"
"Commercial Facilities","Shopping malls and retail centers - Sports arenas and stadiums - Convention centers - Entertainment venues and theaters - Hotels and resorts - Casinos and gaming facilities - Office buildings and business complexes - Apartment and condominium buildings - Theme parks and amusement parks - Museums and cultural facilities - Performing arts centers - Conference centers - Self-storage facilities - Retail districts - Zoo and aquarium facilities - Movie theaters and cinemas - Outdoor event venues - Recreational facilities - Lodging facilities"
"Communications","Cell towers and base stations - Data centers and server farms - Telecommunications switching centers - Broadcast towers (radio and TV) - Satellite ground stations - Fiber optic network nodes - Network operation centers (NOCs) - Central offices and exchange buildings - Cable head-end facilities - Microwave transmission towers - Emergency communications centers - Internet exchange points (IXPs) - Telecommunications equipment shelters - Antenna sites and installations - Communications equipment rooms - Wireless backhaul sites - Point-of-presence (POP) facilities - Carrier hotels - Radio transmission facilities"
"Critical Manufacturing","Steel mills and iron foundries - Aluminum production facilities - Metal fabrication plants - Automotive manufacturing plants - Aerospace manufacturing facilities - Engine and turbine manufacturing plants - Electric motor manufacturing facilities - Transformer manufacturing facilities - Generator manufacturing facilities - Power transmission equipment plants - Shipbuilding yards and facilities - Aircraft manufacturing plants - Locomotive manufacturing facilities - Railroad equipment manufacturing plants - Heavy machinery manufacturing facilities - Construction equipment plants - Mining equipment manufacturing sites - Agricultural equipment plants - Defense systems manufacturing facilities - Component manufacturing facilities"
"Dams","Hydroelectric dams - Flood control dams - Irrigation dams - Water supply reservoirs - Navigation locks - Levees and floodwalls - Hurricane barriers - Spillways and outlet works - Powerhouses (at dam sites) - Mine tailings impoundments - Industrial waste impoundments - Dam project control structures - Pumping stations (at dams) - Recreation dams - Debris control dams - Water retention structures - Canal systems and aqueducts - Diversion dams"
"Defense Industrial Base","Military shipyards - Ammunition plants - Weapons manufacturing facilities - Military aircraft production plants - Arsenals - Ordnance manufacturing facilities - Military vehicle production plants - Defense electronics manufacturing sites - Missile production facilities - Naval weapons stations - Army depots - Ammunition depots - Defense research laboratories - Military equipment maintenance facilities - Combat systems manufacturing plants - Explosives production facilities - Military uniform and equipment plants - Defense contractor facilities - Armored vehicle plants - Military satellite production facilities"
"Emergency Services","Fire stations - Police stations and precincts - Sheriff's offices - Emergency operations centers (EOCs) - 911 call centers (PSAPs) - EMS stations and bases - Dispatch centers - Emergency management facilities - Fire training facilities - Police training academies - HAZMAT response stations - Search and rescue facilities - Emergency medical helicopter bases - Mobile command centers (when stationed) - Emergency equipment storage facilities - Public safety communications towers - Disaster relief staging areas - Emergency shelters - Fusion centers"
"Energy","Power plants (coal, gas, nuclear, hydro) - Electrical substations - Switching stations - Transmission towers - Oil refineries - Natural gas processing plants - Petroleum storage tanks and tank farms - Natural gas storage facilities - Oil and gas well sites - Pumping stations (oil and gas) - Compressor stations (natural gas) - LNG terminals and facilities - Petroleum product terminals - Fuel distribution terminals - Solar power installations - Wind farms (turbine locations) - Geothermal power plants - Biomass power facilities - Coal storage and handling facilities - Electric distribution stations - Smart grid control centers - Energy management centers - Central tank batteries - Fractionation plants"
"Financial Services","Bank branches - Federal Reserve Banks (12 locations: Boston, New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Minneapolis, Kansas City, Dallas, San Francisco) - Federal Reserve Branch offices (24 locations) - Credit union offices - Stock exchanges - Commodity exchanges - Securities trading facilities - Financial data centers - Payment processing centers - Check clearing facilities - ATM locations - Vault facilities - Financial services data centers - Insurance company offices - Mortgage servicing centers - Wire transfer centers - Financial operations centers - Investment banking offices - Financial call centers - Cryptocurrency exchange facilities"
"Food and Agriculture","Food processing plants - Meat packing and slaughterhouse facilities - Grain elevators - Flour mills - Dairy processing facilities - Beverage production plants - Cold storage warehouses - Food distribution centers - Agricultural storage facilities - Feed mills - Oat mills and rice mills - Dry corn mills - Bakeries (large-scale) - Canning facilities - Frozen food processing plants - Malting facilities - Sugar refineries - Vegetable oil processing plants - Livestock auction facilities - Agricultural research facilities - Food safety laboratories - Pesticide storage facilities - Farm supply centers"
